created,text,retwc,hashtag,followers,friends
2020-03-08 08:36:04,b'RT @dhruv_rathee: Malayalam News Channels AsianetNews and Media One telecast banned for 48 hours by Modi Govt \n\nThis is a blatant fascist d\xe2\x80\xa6',6493,None,229,608
2020-03-08 08:36:03,b'@Mohanlal @SrBachchan High level promotion in Malayalam cinema for Biggest Motion Picture\xe2\x80\xa6 https://t.co/dDSahHhkcT',0,None,18,125
2020-03-08 08:35:31,"b'RT @kochattil: Malayalam News channels @asianetnewstv #MediaOne banned for 48 hours, were back in12 hours. A spineless @PrakashJavdekar cla\xe2\x80\xa6'",30,MediaOne,113,1875
2020-03-08 08:35:00,"b""RT @priyadarshandir: The official trailer of ' #MarakkarLionOfTheArabianSea\xe2\x80\x99 is releasing on 6th March, 2020 @ 5PM. The Hindi version of d\xe2\x80\xa6""",820,MarakkarLionOfTheArabianSea,2,5
2020-03-08 08:33:47,b'Movie : Kappela\nRelease date : 6 March 2020\nLanguage : Malayalam\nMalluflix Score : 80% \xf0\x9f\x8f\x81\nRunning in theatres now !\xe2\x80\xa6 https://t.co/md5WMwLUi9',0,None,8,105
2020-03-08 08:33:01,b'RT @imi_hamad: #MasterAudioLaunch Malayalam Poster \xf0\x9f\x98\x8d This Time Kerala Day 1 Will Be Approx To 8Cr \xf0\x9f\x98\x8e\n\n#Master @actorvijay #ThalapathyVijay h\xe2\x80\xa6',28,MasterAudioLaunch,246,874
2020-03-08 08:32:30,"b""RT @ndtv: Broadcasters' body questions how 2 channels banned without minister's nod.\nhttps://t.co/j33UVhBhQP https://t.co/2XdyeEwjJd""",35,None,366,340
2020-03-08 08:32:14,b'RT @Mohanlal: #MarakkarLionoftheArabianSea Official Trailer \n Tamil : https://t.co/2usv3zao1U\nTelugu : https://t.co/J2YAUywVUV\nHindi : http\xe2\x80\xa6',940,MarakkarLionoftheArabianSea,81,90
2020-03-08 08:32:01,"b'RT @PTI_News: News Broadcasters Association says ""shocked to learn"" that decision to ban 2 Malayalam news channels for 48 hours was taken ""\xe2\x80\xa6'",54,None,88,394
2020-03-08 08:31:52,"b""@sridevisreedhar Don't release any Malayalam movies outside Kerala and keep Malayalam quiz for audience before entry""",0,None,206,693
2020-03-08 08:31:27,b'RT @Mohanlal: #MarakkarLionoftheArabianSea Official Trailer \n Tamil : https://t.co/2usv3zao1U\nTelugu : https://t.co/J2YAUywVUV\nHindi : http\xe2\x80\xa6',940,MarakkarLionoftheArabianSea,4,132
2020-03-08 08:29:27,"b""RT @ndtv: Broadcasters' body questions how 2 channels banned without minister's nod.\nhttps://t.co/j33UVhBhQP https://t.co/2XdyeEwjJd""",35,None,1,25
2020-03-08 08:28:56,"b""RT @ndtv: Broadcasters' body questions how 2 channels banned without minister's nod.\nhttps://t.co/j33UVhBhQP https://t.co/2XdyeEwjJd""",35,None,48,146
2020-03-08 08:28:08,"b""RT @ndtv: Broadcasters' body questions how 2 channels banned without minister's nod.\nhttps://t.co/j33UVhBhQP https://t.co/2XdyeEwjJd""",35,None,736,5001
2020-03-08 08:28:00,"b'RT @Advaidism: Malayala Manorama\nKaumudi\nMathrubhumi\nChandrika\nDeepika\nMangalam\n\nThe major Malayalam newspapers, except Desabhimani &amp; Madhy\xe2\x80\xa6'",203,None,56,355
2020-03-08 08:27:30,b'Then please replace #Malayalam with any other regional language for that matter. \n\nTelugu films are best enjoyed wi\xe2\x80\xa6 https://t.co/tR7oakFFLj',0,Malayalam,5161,4399
2020-03-08 08:27:08,"b'RT @PTI_News: News Broadcasters Association says ""shocked to learn"" that decision to ban 2 Malayalam news channels for 48 hours was taken ""\xe2\x80\xa6'",54,None,223,952
2020-03-08 08:26:44,"b'RT @PTI_News: News Broadcasters Association says ""shocked to learn"" that decision to ban 2 Malayalam news channels for 48 hours was taken ""\xe2\x80\xa6'",54,None,4570,2594
2020-03-08 08:26:31,b'RT @RajeIyer: Request to identify the person in the ministry who blocked these 2 anti-india Malayalam channels &amp; make him the minister \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xe2\x80\xa6',11,None,168,806
2020-03-08 08:26:13,"b'RT @SrBachchan: T 3462 - Dear friend and colleague Mohanlal , of Malayalam Cinema, one whom I have ever admired .. asks me to see his new f\xe2\x80\xa6'",1056,None,82,124
2020-03-08 08:25:36,"b'RT @GoodwillOfficl: He Still Holds !!\n The Most Viewed Malayalam Trailer In 24Hrs ,  #L \xf0\x9f\x98\x8a\n\n#LuciferMovie #Lucifer #Mohanlal\n#Prithviraj #Mu\xe2\x80\xa6'",1,L,62,171
2020-03-08 08:25:33,b'RT @Mohanlal: #MarakkarLionoftheArabianSea Official Trailer \n Tamil : https://t.co/2usv3zao1U\nTelugu : https://t.co/J2YAUywVUV\nHindi : http\xe2\x80\xa6',940,MarakkarLionoftheArabianSea,82,124
2020-03-08 08:25:25,b'RT @GBK_Official: #MasterAudioLaunch Malayalam Poster \n\nHuge Day 1 Is Expected With Record No Of Screens In Kerala\n\n#Master @actorvijay #Th\xe2\x80\xa6',68,MasterAudioLaunch,7,339
2020-03-08 08:25:21,"b'RT @PTI_News: News Broadcasters Association says ""shocked to learn"" that decision to ban 2 Malayalam news channels for 48 hours was taken ""\xe2\x80\xa6'",54,None,65,178
2020-03-08 08:25:18,"b'RT @SrBachchan: T 3462 - Dear friend and colleague Mohanlal , of Malayalam Cinema, one whom I have ever admired .. asks me to see his new f\xe2\x80\xa6'",1056,None,2,15
2020-03-08 08:25:13,"b""RT @ndtv: Broadcasters' body questions how 2 channels banned without minister's nod.\nhttps://t.co/j33UVhBhQP https://t.co/2XdyeEwjJd""",35,None,0,13
2020-03-08 08:24:11,b'RT @GBK_Official: #MasterAudioLaunch Malayalam Poster \n\nHuge Day 1 Is Expected With Record No Of Screens In Kerala\n\n#Master @actorvijay #Th\xe2\x80\xa6',68,MasterAudioLaunch,2322,2246
2020-03-08 08:22:44,"b""RT @ndtv: Broadcasters' body questions how 2 channels banned without minister's nod.\nhttps://t.co/j33UVhBhQP https://t.co/2XdyeEwjJd""",35,None,29,51
2020-03-08 08:22:28,b'RT @GBK_Official: #MasterAudioLaunch Malayalam Poster \n\nHuge Day 1 Is Expected With Record No Of Screens In Kerala\n\n#Master @actorvijay #Th\xe2\x80\xa6',68,MasterAudioLaunch,97,227
2020-03-08 08:22:14,b'RT @dhruv_rathee: Malayalam News Channels AsianetNews and Media One telecast banned for 48 hours by Modi Govt \n\nThis is a blatant fascist d\xe2\x80\xa6',6493,None,65,88
2020-03-08 08:22:09,"b'RT @SrBachchan: T 3462 - Dear friend and colleague Mohanlal , of Malayalam Cinema, one whom I have ever admired .. asks me to see his new f\xe2\x80\xa6'",1056,None,25,161
2020-03-08 08:21:42,b'RT @RajeIyer: Request to identify the person in the ministry who blocked these 2 anti-india Malayalam channels &amp; make him the minister \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xe2\x80\xa6',11,None,158,447
2020-03-08 08:20:59,"b""@jabykoay You don't watch some of the best films we recommend to watch from telugu,tamil,kannada,malayalam and some\xe2\x80\xa6 https://t.co/aYRmfDp1PP""",0,None,55,366
2020-03-08 08:20:49,"b'RT @SrBachchan: T 3462 - Dear friend and colleague Mohanlal , of Malayalam Cinema, one whom I have ever admired .. asks me to see his new f\xe2\x80\xa6'",1056,None,53,381
2020-03-08 08:20:36,"b'He Still Holds !!\n The Most Viewed Malayalam Trailer In 24Hrs ,  #L \xf0\x9f\x98\x8a\n\n#LuciferMovie #Lucifer #Mohanlal\n#Prithviraj\xe2\x80\xa6 https://t.co/UoXFOqqflM'",1,L,764,3
2020-03-08 08:20:16,"b""RT @cobrapost: Undeclared Emergency': Kerala CM Vijayan Flays 'Dangerous Trend' of Ban on Malayalam Channels\n\nPeople have the right to know\xe2\x80\xa6""",27,None,335,440
2020-03-08 08:19:22,"b'RT @PTI_News: News Broadcasters Association says ""shocked to learn"" that decision to ban 2 Malayalam news channels for 48 hours was taken ""\xe2\x80\xa6'",54,None,204,864
2020-03-08 08:19:20,"b'RT @Advaidism: Deshabhimani, the 3rd biggest Newspaper in Kerala, strongly defends the two Malayalam television channels banned for 48 hour\xe2\x80\xa6'",218,None,724,529
2020-03-08 08:19:05,"b'RT @SrBachchan: T 3462 - Dear friend and colleague Mohanlal , of Malayalam Cinema, one whom I have ever admired .. asks me to see his new f\xe2\x80\xa6'",1056,None,2,18
2020-03-08 08:19:00,b'RT @BradBradsweet: Con-celebrated Mass in the Syro-Malabar Rite this morning. The heritage of St Thomas Apostle. The Mass is in Malayalam b\xe2\x80\xa6',15,None,301,1637
2020-03-08 08:18:18,b'@jsaideepak Malayalam channels seems to have forgotten entities which were the reason behind these exported from it\xe2\x80\xa6 https://t.co/QxkJfuRJEZ',0,None,491,902
2020-03-08 08:17:54,"b'@amritabhinder @Nami_fight4life Centre bans two Malayalam #TvChannels for Delhi riots coverage: \xe2\x80\x98Critical of RSS, s\xe2\x80\xa6 https://t.co/Id5NVGMahE'",0,TvChannels,28802,20578
2020-03-08 08:17:33,b'RT @sunnxt: Game on with Bigil...Bigileeeee.....\nNow watch the super hit movie #Bigil in Malayalam with subtitles on #SunNXT  \n\nhttps://t.c\xe2\x80\xa6',846,Bigil,525,185
2020-03-08 08:16:30,b'RT @Mohanlal: #MarakkarLionoftheArabianSea Official Trailer \n Tamil : https://t.co/2usv3zao1U\nTelugu : https://t.co/J2YAUywVUV\nHindi : http\xe2\x80\xa6',940,MarakkarLionoftheArabianSea,13,908
2020-03-08 08:15:17,b'RT @Mohanlal: #MarakkarLionoftheArabianSea Official Trailer \n Tamil : https://t.co/2usv3zao1U\nTelugu : https://t.co/J2YAUywVUV\nHindi : http\xe2\x80\xa6',940,MarakkarLionoftheArabianSea,181,241
2020-03-08 08:15:12,"b""RT @ndtv: Broadcasters' body questions how 2 channels banned without minister's nod.\nhttps://t.co/j33UVhBhQP https://t.co/2XdyeEwjJd""",35,None,4,90
2020-03-08 08:14:45,"b""RT @priyadarshandir: The official trailer of ' #MarakkarLionOfTheArabianSea\xe2\x80\x99 is releasing on 6th March, 2020 @ 5PM. The Hindi version of d\xe2\x80\xa6""",820,MarakkarLionOfTheArabianSea,181,241
2020-03-08 08:14:11,b'RT @Vijayfanzh: #MasterAudioLaunch Malayalam Poster \xf0\x9f\x98\x8d This Time Kerala Day 1 Will Be Approx To 8Cr \xf0\x9f\x98\x8e\n\n#Master @actorvijay #ThalapathyVijay\xe2\x80\xa6',59,MasterAudioLaunch,123,287
2020-03-08 08:13:47,"b'RT @MasroorAnsari: Modi Govt bans two Malayalam TV channels for Delhi riots coverage, Critical of RSS, siding with one community by highlig\xe2\x80\xa6'",2,None,298,304
2020-03-08 08:13:46,b'RT @GBK_Official: #MasterAudioLaunch Malayalam Poster \n\nHuge Day 1 Is Expected With Record No Of Screens In Kerala\n\n#Master @actorvijay #Th\xe2\x80\xa6',68,MasterAudioLaunch,713,540
